param liczba_satelit := 5;
param w_npm := 20000000;
param R_Ziemi := 6378137;
param c := 299792458;
param n := 3;
param pkt_start :=
	  1	0
	  2	0
	  3	0;
param dlugosc_fi_deg :=
	  1 13.395837
	  2 12.373351
	  3 19.381854
	  4 26.244260
	  5 28.787526;
param szerokosc_teta_deg :=
	  1 52.885907
	  2 50.312052
	  3 47.796902
	  4 50.619584
	  5 55.488272;
param t :=
	  1 6.681942096329203e-02
	  2 6.685485794155749e-02
	  3 6.678159811857652e-02
	  4 6.675754177119679e-02
	  5 6.685983402652426e-02;
param pi := 3.141592653589793238462643383279502884197169399375105820974944592307816406286208998628034825342117067982148086513282306647093844609550582231725359408128481117450284102701938521105559644622948954930381964428;
param w := 0.000001;
	  
	  

	  
